섹션	영어 원문	베트남어 번역
nav.whatIsNoljak	What is Noljak?	Noljak là gì?
nav.programs	Programs	Chương trình
nav.philosophy	Philosophy	Triết lý
nav.crekic	CreKiC	CreKiC
nav.basic	Basic	Cơ bản
nav.creator	Creator	Sáng tạo
nav.others	Others	Khác
nav.nowNoljak	Now Noljak	Noljak Now
nav.findCenter	Find Center	Tìm trung tâm
nav.globalBusiness	Global Business	Kinh doanh toàn cầu
hero.tagline	Where Children Observe, Think, and Create	Nơi trẻ em quan sát, tư duy và sáng tạo
hero.sub	A global creative education brand for ages 3-7	Thương hiệu giáo dục sáng tạo toàn cầu cho trẻ 3-7 tuổi
hero.quote	Children observe real objects, build their own ideas, and express them through drawing and making.	Trẻ em quan sát vật thật, tự hình thành ý tưởng và thể hiện qua vẽ và làm.
hero.cta1	Find a Center	Tìm trung tâm
hero.cta2	Explore Programs	Khám phá chương trình
whatIsNoljak.headline	Creative education for young children — starting from Korea, it's Noljak!	Giáo dục sáng tạo cho trẻ nhỏ, bắt đầu từ quan sát tư duy — Noljak từ Hàn Quốc!
whatIsNoljak.card1Title	From Korea	Từ Hàn Quốc
whatIsNoljak.card1Desc	A creative education brand born in Korea, now growing globally.	Thương hiệu giáo dục sáng tạo sinh ra tại Hàn Quốc, đang phát triển toàn cầu.
whatIsNoljak.card2Title	For Ages 3–Elementary	Cho trẻ 3 tuổi đến tiểu học
whatIsNoljak.card2Desc	Designed for young children from age 3 through early elementary.	Được thiết kế cho trẻ nhỏ từ 3 tuổi đến đầu cấp tiểu học.
whatIsNoljak.card3Title	Art & Creativity	Nghệ thuật & Sáng tạo
whatIsNoljak.card3Desc	Art is the medium. Thinking and creating is the goal.	Nghệ thuật là phương tiện. Tư duy và sáng tạo là mục tiêu.
whatIsNoljak.supportingMessage	Noljak nurtures the creativity of children in 11 countries worldwide through a systematic curriculum grounded in a clear educational philosophy.	Noljak nuôi dưỡng sự sáng tạo của trẻ em tại 11 quốc gia trên thế giới thông qua chương trình học có hệ thống dựa trên triết lý giáo dục rõ ràng.
programs.crekicLabel	CreKiC Course	Khóa học CreKiC
programs.crekicHeadline	Where learning begins with the whole body.	Nơi việc học bắt đầu bằng toàn bộ cơ thể.
programs.crekicAge	Ages 3–5	3-5 tuổi
programs.crekicDesc	Children grow through sensory play, emotional expression, and performance-based art activities.	Trẻ em phát triển qua trò chơi cảm giác, biểu đạt cảm xúc và các hoạt động nghệ thuật.
programs.crekicCta	Explore CreKiC →	Khám phá CreKiC →
programs.basicLabel	Basic Course	Khóa học Cơ bản
programs.basicHeadline	Thinking starts with real observation.	Tư duy bắt đầu từ quan sát thực tế.
programs.basicAge	Ages 5–7	5-7 tuổi
programs.basicDesc	Children observe real objects, build their own ideas, and express them through drawing and making.	Trẻ em quan sát vật thật, tự hình thành ý tưởng và thể hiện qua vẽ và làm.
programs.basicCta	Explore Basic →	Khám phá Cơ bản →
programs.creatorLabel	Creator Course	Khóa học Sáng tạo
programs.creatorHeadline	Ideas become original creations.	Ý tưởng trở thành tác phẩm độc đáo.
programs.creatorAge	Ages 7–Elementary	7 tuổi đến tiểu học
programs.creatorDesc	Children expand their thinking through multi-layered projects and present their own original creative works.	Trẻ em mở rộng tư duy qua các dự án đa tầng và trình bày tác phẩm sáng tạo của riêng mình.
programs.creatorCta	Explore Creator →	Khám phá Sáng tạo →
nowNoljak.title	Now Noljak	Noljak Now
nowNoljak.subtitle	See Noljak happening around the world.	Xem Noljak đang diễn ra trên toàn thế giới.
nowNoljak.description	From Korea to Global and beyond, discover real classroom moments of observation, thinking, and creative expression.	Từ Hàn Quốc đến toàn cầu, khám phá những khoảnh khắc lớp học thực tế về quan sát, tư duy và biểu đạt sáng tạo.
nowNoljak.all	All	Tất cả
nowNoljak.seeMore	See More	Xem thêm
nowNoljak.goTo	Go to	Đến
nowNoljak.loading	Loading...	Đang tải...
nowNoljak.empty	No cards available.	Không có nội dung.
findCenter.title	Find Noljak near you.	Tìm Noljak gần bạn.
findCenter.countries	Countries	Quốc gia
findCenter.centers	Centers	Trung tâm
findCenter.years	Years	Năm
findCenter.others	Others	Khác
findCenter.cta	Global Business → Bring Noljak to Your City	Kinh doanh toàn cầu — Đưa Noljak đến thành phố của bạn
footer.programs	Programs	Chương trình
footer.followUs	Follow Us	Theo dõi
footer.partner	Partner	Đối tác
footer.partnerPortal	Noljak Partner Portal	Cổng thông tin đối tác Noljak
footer.privacy	Privacy Policy	Chính sách bảo mật
footer.terms	Terms of Use	Điều khoản sử dụng
footer.rights	© 2026 NOLJAKEDU CO., LTD. All Rights Reserved.	© 2026 NOLJAKEDU CO., LTD. All Rights Reserved.
findCenterPage.hero	Find Noljak near you.	Tìm Noljak gần bạn.
findCenterPage.heroSub	Noljak Creative Centers are opening across the world. Find the one closest to you.	Các trung tâm sáng tạo Noljak đang mở rộng trên toàn thế giới. Tìm trung tâm gần bạn nhất.
findCenterPage.searchPlaceholder	Search by country or city...	Tìm kiếm theo quốc gia hoặc thành phố...
findCenterPage.useLocation	Or use current location	Sử dụng vị trí hiện tại
findCenterPage.globalPresence	GLOBAL PRESENCE	HIỆN DIỆN TOÀN CẦU
findCenterPage.mapTitle	Noljak in 11 countries.	Noljak tại 11 quốc gia.
findCenterPage.countries	Countries	Quốc gia
findCenterPage.centersInKorea	Centers in Korea	Trung tâm tại Hàn Quốc
findCenterPage.globalCenters	Global Centers	Trung tâm toàn cầu
findCenterPage.centersByRegion	Centers by region.	Trung tâm theo khu vực.
findCenterPage.loading	Loading centers...	Đang tải danh sách trung tâm...
findCenterPage.koreaTitle	400+ centers across Korea.	Hơn 400 trung tâm trên khắp Hàn Quốc.
findCenterPage.koreaSub	Find your nearest Noljak center on our Korean website.	Tìm trung tâm Noljak gần nhất trên trang web Hàn Quốc của chúng tôi.
findCenterPage.findInKorea	Find a Center in Korea →	Tìm trung tâm tại Hàn Quốc →
findCenterPage.getDirections	Get Directions →	Chỉ đường →
findCenterPage.noCenter	No Noljak center in your city yet.	Chưa có trung tâm Noljak tại thành phố của bạn.
findCenterPage.noCenterSub	Be the first to bring Noljak to your community.	Hãy là người đầu tiên đưa Noljak đến cộng đồng của bạn.
findCenterPage.bringNoljak	Bring Noljak to Your City →	Đưa Noljak đến thành phố của bạn →
findCenterPage.dontSeeCity	Don't see your city?	Không thấy thành phố của bạn?
findCenterPage.dontSeeCitySub	Join our growing global network and bring Noljak's creative education to your community.	Tham gia mạng lưới toàn cầu đang phát triển và đưa giáo dục sáng tạo Noljak đến cộng đồng của bạn.
findCenterPage.startBusiness	Start Global Business	Bắt đầu kinh doanh toàn cầu
findCenterPage.contactUs	Contact Us	Liên hệ
findCenterPage.tabAll	All	Tất cả
findCenterPage.tabKorea	Korea	Hàn Quốc
globalBusiness.hero	Bring Noljak to your city.	Đưa Noljak đến thành phố của bạn.
globalBusiness.heroSub	Join a growing global network of creative education centers in 11 countries and counting.	Tham gia mạng lưới trung tâm giáo dục sáng tạo toàn cầu đang phát triển tại 11 quốc gia.
globalBusiness.centersInKorea	Centers in Korea	Trung tâm tại Hàn Quốc
globalBusiness.countries	Countries	Quốc gia
globalBusiness.yearsOfExp	Years of Experience	Năm kinh nghiệm
globalBusiness.getStarted	Get Started	Bắt đầu
globalBusiness.whyLabel	WHY NOLJAK?	TẠI SAO NOLJAK?
globalBusiness.whyTitle	The world needs creative education now.	Thế giới đang cần giáo dục sáng tạo ngay bây giờ.
globalBusiness.whyDesc	English and math are no longer enough. Parents worldwide are actively seeking creative education for their children. Noljak fills that gap — with a proven curriculum, a recognizable brand, and 20 years of expertise.	Tiếng Anh và toán học không còn đủ nữa. Phụ huynh trên toàn thế giới đang tích cực tìm kiếm giáo dục sáng tạo cho con cái họ. Noljak lấp đầy khoảng trống đó — với chương trình học đã được kiểm chứng, thương hiệu được công nhận và 20 năm chuyên môn.
globalBusiness.stat1Title	#1 Creative Art Education Brand in Korea	Thương hiệu giáo dục nghệ thuật sáng tạo số 1 Hàn Quốc
globalBusiness.stat1Desc	Trusted by 400+ centers nationwide	Được tin tưởng bởi hơn 400 trung tâm trên toàn quốc
globalBusiness.stat2Title	Growing Global Demand	Nhu cầu toàn cầu ngày càng tăng
globalBusiness.stat2Desc	Parents in 11 countries choose Noljak	Phụ huynh tại 11 quốc gia chọn Noljak
globalBusiness.stat3Title	Proven Curriculum	Chương trình học đã được kiểm chứng
globalBusiness.stat3Desc	6-step roadmap refined over 20 years	Lộ trình 6 bước được hoàn thiện trong 20 năm
globalBusiness.receiveLabel	WHAT YOU RECEIVE	NHỮNG GÌ BẠN NHẬN ĐƯỢC
globalBusiness.receiveTitle	Everything you need to run a world-class center.	Mọi thứ bạn cần để vận hành một trung tâm đẳng cấp thế giới.
globalBusiness.receive1Title	Curriculum Package	Gói chương trình học
globalBusiness.receive1Desc	Complete 6-step program materials, updated regularly.	Tài liệu chương trình 6 bước hoàn chỉnh, được cập nhật thường xuyên.
globalBusiness.receive2Title	Teaching Guides	Hướng dẫn giảng dạy
globalBusiness.receive2Desc	Detailed lesson plans for every single session.	Kế hoạch bài học chi tiết cho từng buổi học.
globalBusiness.receive3Title	Art Kits	Bộ dụng cụ nghệ thuật
globalBusiness.receive3Desc	Curated real-object materials — no plastic kits.	Vật liệu thực được tuyển chọn — không có bộ dụng cụ nhựa.
globalBusiness.receive4Title	Teacher Training	Đào tạo giáo viên
globalBusiness.receive4Desc	Initial and ongoing professional development.	Phát triển chuyên môn ban đầu và liên tục.
globalBusiness.receive5Title	Brand & Marketing Support	Hỗ trợ thương hiệu và tiếp thị
globalBusiness.receive5Desc	Global brand assets and local marketing guidance.	Tài sản thương hiệu toàn cầu và hướng dẫn tiếp thị địa phương.
globalBusiness.receive6Title	Growth Consulting	Tư vấn tăng trưởng
globalBusiness.receive6Desc	Regular check-ins and performance briefings.	Kiểm tra định kỳ và báo cáo hiệu suất.
globalBusiness.modelsLabel	BUSINESS MODELS	MÔ HÌNH KINH DOANH
globalBusiness.modelsTitle	Find the model that fits your market.	Tìm mô hình phù hợp với thị trường của bạn.
globalBusiness.mostPopular	Most Popular	Phổ biến nhất
globalBusiness.model1Title	Noljak Center	Trung tâm Noljak
globalBusiness.model1Desc	Open and operate a full Noljak Creative Center with complete brand and curriculum support.	Mở và vận hành Trung tâm Sáng tạo Noljak đầy đủ với hỗ trợ thương hiệu và chương trình học hoàn chỉnh.
globalBusiness.model2Title	Licensing	Cấp phép
globalBusiness.model2Desc	License Noljak's curriculum and tools to integrate into your existing education center.	Cấp phép chương trình học và công cụ của Noljak để tích hợp vào trung tâm giáo dục hiện có của bạn.
globalBusiness.forInvestors	For Investors	Dành cho nhà đầu tư
globalBusiness.model3Title	Master Franchise	Nhượng quyền thương mại chính
globalBusiness.model3Desc	Become Noljak's regional representative and develop the brand across your country or territory.	Trở thành đại diện khu vực của Noljak và phát triển thương hiệu trên toàn quốc gia hoặc lãnh thổ của bạn.
globalBusiness.journeyLabel	PARTNER JOURNEY	HÀNH TRÌNH ĐỐI TÁC
globalBusiness.journeyTitle	From inquiry to opening — a clear path forward.	Từ tìm hiểu đến khai trương — một con đường rõ ràng phía trước.
globalBusiness.step1Title	Inquiry	Tìm hiểu
