섹션	영어 원문	한국어 번역
nav.whatIsNoljak	What is Noljak?	
nav.programs	Programs	
nav.philosophy	Philosophy	
nav.crekic	CreKiC	
nav.basic	Basic	
nav.creator	Creator	
nav.others	Others	
nav.nowNoljak	Now Noljak	
nav.findCenter	Find Center	
nav.globalBusiness	Global Business	
hero.tagline	Where Children Observe, Think, and Create	
hero.sub	A global creative education brand for ages 3-7	
hero.quote	Children observe real objects, build their own ideas, and express them through drawing and making.	
hero.cta1	Find a Center	
hero.cta2	Explore Programs	
whatIsNoljak.headline	Creative education for young children — starting from Korea, it's Noljak!	
whatIsNoljak.card1Title	From Korea	
whatIsNoljak.card1Desc	A creative education brand born in Korea, now growing globally.	
whatIsNoljak.card2Title	For Ages 3–Elementary	
whatIsNoljak.card2Desc	Designed for young children from age 3 through early elementary.	
whatIsNoljak.card3Title	Art & Creativity	
whatIsNoljak.card3Desc	Art is the medium. Thinking and creating is the goal.	
whatIsNoljak.supportingMessage	Noljak nurtures the creativity of children in 11 countries worldwide through a systematic curriculum grounded in a clear educational philosophy.	
programs.crekicLabel	CreKiC Course	
programs.crekicHeadline	Where learning begins with the whole body.	
programs.crekicAge	Ages 3–5	
programs.crekicDesc	Children grow through sensory play, emotional expression, and performance-based art activities.	
programs.crekicCta	Explore CreKiC →	
programs.basicLabel	Basic Course	
programs.basicHeadline	Thinking starts with real observation.	
programs.basicAge	Ages 5–7	
programs.basicDesc	Children observe real objects, build their own ideas, and express them through drawing and making.	
programs.basicCta	Explore Basic →	
programs.creatorLabel	Creator Course	
programs.creatorHeadline	Ideas become original creations.	
programs.creatorAge	Ages 7–Elementary	
programs.creatorDesc	Children expand their thinking through multi-layered projects and present their own original creative works.	
programs.creatorCta	Explore Creator →	
nowNoljak.title	Now Noljak	
nowNoljak.subtitle	See Noljak happening around the world.	
nowNoljak.description	From Korea to Global and beyond, discover real classroom moments of observation, thinking, and creative expression.	
nowNoljak.all	All	
nowNoljak.seeMore	See More	
nowNoljak.goTo	Go to	
nowNoljak.loading	Loading...	
nowNoljak.empty	No cards available.	
findCenter.title	Find Noljak near you.	
findCenter.countries	Countries	
findCenter.centers	Centers	
findCenter.years	Years	
findCenter.others	Others	
findCenter.cta	Global Business → Bring Noljak to Your City	
footer.programs	Programs	
footer.followUs	Follow Us	
footer.partner	Partner	
footer.partnerPortal	Noljak Partner Portal	
footer.privacy	Privacy Policy	
footer.terms	Terms of Use	
