섹션,영어 원문,한국어 번역
nav.whatIsNoljak,What is Noljak?,놀작이란?
nav.programs,Programs,프로그램
nav.philosophy,Philosophy,교육철학
nav.crekic,CreKiC,크키크
nav.basic,Basic,베이직
nav.creator,Creator,크리에이터
nav.others,Others,기타
nav.nowNoljak,Now Noljak,지금 놀작은
nav.findCenter,Find Center,센터 찾기
nav.globalBusiness,Global Business,놀작 창업하기
hero.tagline,"Where Children Observe, Think, and Create","아이들이 관찰하고, 생각하고, 창작하는 곳"
hero.sub,A global creative education brand for ages 3-7,3세부터 초등생을  위한 글로벌 창의교육
hero.quote,"Children observe real objects, build their own ideas, and express them through drawing and making.","아이들은 실물을 관찰하고, 스스로 생각을 만들며, 그림과 만들기로 표현합니다."
hero.cta1,Find a Center,센터 찾기
hero.cta2,Explore Programs,프로그램 보기
whatIsNoljak.headline,"Creative education for young children — starting from Korea, it's Noljak!",생각하는 관찰로 시작하는 어린이 창의교육 — 한국에서 시작된 놀작!
whatIsNoljak.card1Title,From Korea,한국에서 시작된
whatIsNoljak.card1Desc,"A creative education brand born in Korea, now growing globally.","한국에서 시작한 창의미술교육 브랜드, 이제 세계의 아이들과 함께 하고 있습니다."
whatIsNoljak.card2Title,For Ages 3–Elementary,3세~초등 대상
whatIsNoljak.card2Desc,Designed for young children from age 3 through early elementary.,3세부터 초등 저학년까지의 아동 발달에 기초해 설계되었습니다.
whatIsNoljak.card3Title,Art & Creativity,미술과 창의성
whatIsNoljak.card3Desc,Art is the medium. Thinking and creating is the goal.,미술로 자신만의 생각을 자신있게 표현하는 것이 목표입니다.
whatIsNoljak.supportingMessage,Noljak nurtures the creativity of children in 11 countries worldwide through a systematic curriculum grounded in a clear educational philosophy.,놀작은 명확한 교육철학을 바탕으로 한 체계적인 커리큘럼으로 전 세계 11개국 아이들과 함께 합니다.
programs.crekicLabel,CreKiC Course,크키크 과정
programs.crekicHeadline,Where learning begins with the whole body.,감각 정서 언어 올인원 에듀퍼포먼스 프로그램
programs.crekicAge,Ages 3–5,3~5세
programs.crekicDesc,"Children grow through sensory play, emotional expression, and performance-based art activities.","감각 놀이, 감정 표현, 퍼포먼스 기반 미술 활동을 통해 아이들이 성장합니다."
programs.crekicCta,Explore CreKiC →,크키크 알아보기 →
programs.basicLabel,Basic Course,베이직 과정
programs.basicHeadline,Thinking starts with real observation.,생각은 실제 관찰에서 시작됩니다.
programs.basicAge,Ages 5–7,5~7세
programs.basicDesc,"Children observe real objects, build their own ideas, and express them through drawing and making.","아이들은 실물을 관찰하고, 스스로 생각을 만들며, 그림과 만들기로 표현합니다."
programs.basicCta,Explore Basic →,베이직 알아보기 →
programs.creatorLabel,Creator Course,크리에이터 과정
programs.creatorHeadline,Ideas become original creations.,아이디어가 나만의 창작물이 됩니다.
programs.creatorAge,Ages 7–Elementary,7세~초등
programs.creatorDesc,Children expand their thinking through multi-layered projects and present their own original creative works.,아이들은 다층적인 프로젝트를 통해 사고를 확장하고 자신만의 창의적 작품을 발표합니다.
programs.creatorCta,Explore Creator →,크리에이터 알아보기 →
nowNoljak.title,Now Noljak,놀작 지금
nowNoljak.subtitle,See Noljak happening around the world.,전 세계에서 일어나는 놀작을 만나보세요.
nowNoljak.description,"From Korea to Global and beyond, discover real classroom moments of observation, thinking, and creative expression.","한국에서 전 세계로, 관찰과 생각, 창의적 표현의 실제 수업 순간을 발견하세요."
nowNoljak.all,All,전체
nowNoljak.seeMore,See More,더 보기
nowNoljak.goTo,Go to,바로가기
nowNoljak.loading,Loading...,불러오는 중...
nowNoljak.empty,No cards available.,등록된 카드가 없습니다.
findCenter.title,Find Noljak near you.,가까운 놀작을 찾아보세요.
findCenter.countries,Countries,개국
findCenter.centers,Centers,개 센터
findCenter.years,Years,년
findCenter.others,Others,기타
findCenter.cta,Global Business → Bring Noljak to Your City,글로벌 비즈니스 — 놀작을 시작해보세요
footer.programs,Programs,프로그램
footer.followUs,Follow Us,팔로우
footer.partner,Partner,파트너
footer.partnerPortal,Noljak Partner Portal,놀작 파트너 포털
footer.privacy,Privacy Policy,개인정보처리방침
footer.terms,Terms of Use,이용약관
footer.rights,"© 2026 NOLJAKEDU CO., LTD. All Rights Reserved.","© 2026 NOLJAKEDU CO., LTD. All Rights Reserved."
findCenterPage.hero,Find Noljak near you.,가까운 놀작을 찾아보세요.
findCenterPage.heroSub,Noljak Creative Centers are opening across the world. Find the one closest to you.,전 세계에 놀작 창의미술센터가 오픈되고 있습니다. 가까운 곳을 찾아보세요.
findCenterPage.searchPlaceholder,Search by country or city...,국가 또는 도시로 검색...
findCenterPage.useLocation,Or use current location,현재 위치 사용
findCenterPage.globalPresence,GLOBAL PRESENCE,글로벌 현황
findCenterPage.mapTitle,Noljak in 11 countries.,11개국의 놀작.
findCenterPage.countries,Countries,개국
findCenterPage.centersInKorea,Centers in Korea,개 센터 (한국)
findCenterPage.globalCenters,Global Centers,글로벌 센터
findCenterPage.centersByRegion,Centers by region.,지역별 센터.
findCenterPage.loading,Loading centers...,센터 정보를 불러오는 중...
findCenterPage.koreaTitle,400+ centers across Korea.,한국 전역 400개 이상의 센터.
findCenterPage.koreaSub,Find your nearest Noljak center on our Korean website.,한국 웹사이트에서 가장 가까운 놀작 교육원을 찾아보세요.
findCenterPage.findInKorea,Find a Center in Korea →,한국 교육원 찾기 →
findCenterPage.getDirections,Get Directions →,길 찾기 →
findCenterPage.noCenter,No Noljak center in your city yet.,아직 놀작 교육원이 없나요?
findCenterPage.noCenterSub,Be the first to bring Noljak to your community.,선생님의 지역에 놀작을 소개해보세요.
findCenterPage.bringNoljak,Bring Noljak to Your City →,놀작 창업하기 →
findCenterPage.dontSeeCity,Don't see your city?,도시가 보이지 않나요?
findCenterPage.dontSeeCitySub,Join our growing global network and bring Noljak's creative education to your community.,놀작은 해외 창업이 가능합니다. 놀작 창의미술교육을 시작해보세요.
findCenterPage.startBusiness,Start Global Business,글로벌 비즈니스 시작
findCenterPage.contactUs,Contact Us,문의하기
findCenterPage.tabAll,All,전체
findCenterPage.tabKorea,Korea,한국
globalBusiness.hero,Bring Noljak to your city.,놀작을 시작헤보세요.
globalBusiness.heroSub,Join a growing global network of creative education centers in 11 countries and counting.,11개국에 걸쳐 성장하는 창의미술 교육 센터의 글로벌 네트워크에 함께 하세요.
globalBusiness.centersInKorea,Centers in Korea,한국의 센터
globalBusiness.countries,Countries,국가
globalBusiness.yearsOfExp,Years of Experience,년의 경험
globalBusiness.getStarted,Get Started,시작하기
globalBusiness.whyLabel,WHY NOLJAK?,왜 놀작인가요?
globalBusiness.whyTitle,The world needs creative education now.,세상은 지금 창의 교육이 필요합니다.
globalBusiness.whyDesc,"English and math are no longer enough. Parents worldwide are actively seeking creative education for their children. Noljak fills that gap — with a proven curriculum, a recognizable brand, and 20 years of expertise.","영어와 수학만으로는 충분하지 않습니다. 전 세계 부모들은 자녀를 위한 핵심 경쟁력으로 창의 교육을 적극 찾고 있습니다. 놀작은 검증된 커리큘럼, 체계적인 오픈과 운영 지원, 15년의 전문성으로 그 수요의 선택이 되고 있습니다."
globalBusiness.stat1Title,#1 Creative Art Education Brand in Korea,한국 1위 창의 미술 교육 브랜드
globalBusiness.stat1Desc,Trusted by 400+ centers nationwide,전국 400개 이상 센터의 신뢰
globalBusiness.stat2Title,Growing Global Demand,증가하는 글로벌 수요
globalBusiness.stat2Desc,Parents in 11 countries choose Noljak,11개국 학부모들이 놀작을 선택합니다
globalBusiness.stat3Title,Proven Curriculum,검증된 커리큘럼
globalBusiness.stat3Desc,6-step roadmap refined over 15 years,15년에 걸쳐 완성된 6단계 로드맵
globalBusiness.receiveLabel,WHAT YOU RECEIVE,파트너 지원 내용
globalBusiness.receiveTitle,Everything you need to run a world-class center.,세계 수준의 센터 운영에 필요한 모든 것.
globalBusiness.receive1Title,Curriculum Package,커리큘럼 패키지
globalBusiness.receive1Desc,"Complete 6-step program materials, updated regularly.",정기적으로 업데이트되는 체계적인 6단계 프로그램 자료.
globalBusiness.receive2Title,Teaching Guides,교수 가이드
globalBusiness.receive2Desc,Detailed lesson plans for every single session.,매 수업을 위한 상세한 수업 계획서.
globalBusiness.receive3Title,Art Kits,미술 키트
globalBusiness.receive3Desc,Curated real-object materials — no plastic kits.,선택의 이유가 있는 실물 주제
globalBusiness.receive4Title,Teacher Training,교사 연수
globalBusiness.receive4Desc,Initial and ongoing professional development.,교사 교육과 성장 지원
globalBusiness.receive5Title,Brand & Marketing Support,브랜드 및 마케팅 지원
globalBusiness.receive5Desc,Global brand assets and local marketing guidance.,글로벌 브랜드 자산 및 현지 마케팅 가이드.
globalBusiness.receive6Title,Growth Consulting,성장 컨설팅
globalBusiness.receive6Desc,Regular check-ins and performance briefings.,정기적인 점검 및 성과 브리핑.
globalBusiness.modelsLabel,BUSINESS MODELS,사업 모델
globalBusiness.modelsTitle,Find the model that fits your market.,선생님의 자금과 계획에 적합한 모델을 선택하세요.
globalBusiness.mostPopular,Most Popular,가장 인기
globalBusiness.model1Title,Noljak Center,놀작 센터
globalBusiness.model1Desc,Open and operate a full Noljak Creative Center with complete brand and curriculum support.,완전한 브랜드 및 커리큘럼 지원으로 놀작 창의 센터를 개설하고 운영하세요.
globalBusiness.model2Title,Licensing,라이선싱
globalBusiness.model2Desc,License Noljak's curriculum and tools to integrate into your existing education center.,놀작의 커리큘럼과 도구를 라이선스하여 기존 교육 센터에 통합하세요.
globalBusiness.forInvestors,For Investors,투자자용
globalBusiness.model3Title,Master Franchise,마스터 프랜차이즈
globalBusiness.model3Desc,Become Noljak's regional representative and develop the brand across your country or territory.,놀작의 지역 대표가 되어 당신의 국가나 지역에서 놀작과 성장하세요!
globalBusiness.journeyLabel,PARTNER JOURNEY,파트너 되기
globalBusiness.journeyTitle,From inquiry to opening — a clear path forward.,문의부터 개원까지 — 매뉴얼에 의한 과정.
globalBusiness.step1Title,Inquiry,문의
globalBusiness.step1Desc,Submit your interest. Tell us about your city.,제출하기. 개설 희망 지역을 알려주세요.
globalBusiness.step2Title,Consultation,상담
globalBusiness.step2Desc,We learn about your market and goals together.,함께 지역을 조사하고 가능한 목표를 분석합니다.
globalBusiness.step3Title,Agreement,계약
globalBusiness.step3Desc,"Clear terms, transparent partnership structure.","명확한 조건, 투명한 파트너십 구조."
globalBusiness.step4Title,Training,교육
globalBusiness.step4Desc,Full teacher and operator training program.,완전한 교사 및 운영자 교육 프로그램.
globalBusiness.step5Title,Opening,개원
globalBusiness.step5Desc,Grand opening support and launch marketing.,그랜드 오프닝 지원 및 런칭 마케팅.
globalBusiness.step6Title,Ongoing Support,지속적인 지원
globalBusiness.step6Desc,"Curriculum updates, consulting, and community.","커리큘럼 업데이트, 컨설팅, 커뮤니티."
globalBusiness.voicesLabel,PARTNER VOICES,파트너 목소리
globalBusiness.voicesTitle,Real partners. Real results.,실제 파트너. 실제 결과.
globalBusiness.voice1Quote,"Noljak gave us a complete system — curriculum, training, and ongoing support. We opened with confidence.","놀작은 커리큘럼, 교육, 지속적인 지원까지 완전한 시스템을 제공했습니다. 우리는 자신감 있게 개원했습니다."
globalBusiness.voice1Name,"Partner, Vietnam","파트너, 베트남"
globalBusiness.voice2Quote,Parents immediately understood the value. Children who used to resist art now ask to come every day.,부모님들이 바로 가치를 이해했습니다. 예전에 미술을 거부하던 아이들이 이제 매일 오고 싶어 합니다.
globalBusiness.voice2Name,"Partner, Philippines","파트너, 필리핀"
globalBusiness.voice3Quote,The curriculum is unlike anything available in Germany. We had 40 students enrolled before opening day.,이 커리큘럼은 독일에서 접할 수 있는 어떤 것과도 다릅니다. 우리는 개원 전에 40명의 학생을 등록했습니다.
globalBusiness.voice3Name,"Partner, Germany","파트너, 독일"
globalBusiness.formLabel,GET STARTED,시작하기
globalBusiness.formTitle,Let's talk about your city.,귀하의 도시에 대해 이야기해 봅시다.
globalBusiness.formDesc,Fill in the form and our global team will be in touch within 2 business days.,양식을 작성하시면 글로벌 팀이 영업일 기준 2일 이내에 연락 드립니다.
globalBusiness.reassure1,No obligation — just a conversation,의무 없음 — 그냥 대화입니다
globalBusiness.reassure2,Response within 2 business days,영업일 기준 2일 이내 답변
globalBusiness.reassure3,"Available in English, Korean, and Vietnamese","영어, 한국어, 베트남어 사용 가능"
globalBusiness.fieldName,Name,이름
globalBusiness.fieldNamePlaceholder,Your name,이름을 입력하세요
globalBusiness.fieldEmail,Email,이메일
globalBusiness.fieldPhone,Phone,전화번호
globalBusiness.fieldCountry,Country,국가
globalBusiness.fieldCity,City,도시
globalBusiness.fieldBusinessType,Business Type,사업 유형
globalBusiness.fieldBusinessTypePlaceholder,Select a type,유형을 선택하세요
globalBusiness.optionNewCenter,New Center,신규 센터
globalBusiness.optionLicensing,Licensing,라이선싱
globalBusiness.optionMasterFranchise,Master Franchise,마스터 프랜차이즈
globalBusiness.fieldMessage,Message,메시지
globalBusiness.fieldMessagePlaceholder,Tell us about your plans...,귀하의 계획을 알려주세요...
globalBusiness.submit,Send Inquiry,확인
whatIsNoljakPage.headline,Noljak is the world's only art-based creative education for the AI generation.,놀작은 AI 시대를 위한 세계 유일의 미술 기반 창의교육입니다.
whatIsNoljakPage.body1,"Noljak is a creative education program rooted in Thinking Observation — designed for children ages 3 to elementary school. Through small-group, project-based art classes, we help children develop the creativity that will define their success in the AI era.","놀작은 생각하는 관찰에 뿌리를 둔 창의교육 프로그램으로, 3세부터 초등학생까지를 대상으로 합니다. 소그룹 프로젝트 기반 미술 수업을 통해 AI 시대의 성공을 결정짓는 창의성을 키워줍니다."
whatIsNoljakPage.body2,"English and math matter. But in the end, creativity is the real competitive edge. And creativity has a golden time — it starts early, and it starts with Noljak.",영어와 수학도 중요합니다. 하지만 아이의 미래엔 결국 창의성과 정서가 핵심 경쟁력입니다. 그리고 창의성 발달에는 골든 타임이 있습니다. 그 때 놀작에서 시작하세요.
whatIsNoljakPage.footnote1,NOLJAK = Nol-i(놀이) + Chang-Jak(창작),NOLJAK = 놀이 + 창작
whatIsNoljakPage.footnote2,Play + Creation → NOLJAK,Play + Creation → NOLJAK
whatIsNoljakPage.tag1,Ages 3–Elementary,3세~초등
whatIsNoljakPage.tag2,Korea's #1 Creative Education,한국 1위 창의교육
whatIsNoljakPage.tag3,Real Object & Project-Based,실물관찰 & 프로젝트 기반
whatIsNoljakPage.tag4,Small Group Classes,소그룹 수업
whatIsNoljakPage.whyArtHeadline,Why did we choose Art as our tool?,왜 미술을 도구로 선택했을까요?
whatIsNoljakPage.whyArtSub,Because creativity is the one skill every child will need — no matter what the future looks like.,창의성은 미래가 어떤 모습이든 아이에게 꼭 필요한 핵심 경쟁력이기 때문입니다.
